datetime,temperature,Componente
2024-09-12T03:07:07.000Z,69.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T04:07:07.000Z,70.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T05:07:07.000Z,66.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T06:07:07.000Z,62.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T07:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T08:07:07.000Z,66.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T09:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T10:07:07.000Z,67.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T11:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T12:07:07.000Z,72.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T13:07:07.000Z,74.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T14:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T15:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T16:07:07.000Z,75.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T17:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T18:07:07.000Z,77.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T19:07:07.000Z,78.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T20:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T21:07:07.000Z,77.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T22:07:07.000Z,72.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T23:07:07.000Z,69.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T00:07:07.000Z,72.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T01:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T02:07:07.000Z,77.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T03:07:07.000Z,76.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T04:07:07.000Z,75.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T05:07:07.000Z,70.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T06:07:07.000Z,69.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T07:07:07.000Z,69.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T08:07:07.000Z,71.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T09:07:07.000Z,73.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-13T10:07:07.000Z,70.0,EM3401 102B0450 Redutor de Giro Frontal
